image_name,image_path,cam_num,shift,ref_excelente,ref_bom,ref_ruim,ref_pessimo,pred_label,ev_label_1,ev_label_2,ev_label_3,ev_label_4,ev_label_5
Cam - 321 - 22.10.2022 - 20h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 20h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 00h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 00h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 14h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 14h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 22.10.2022 - 18h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 18h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 18h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 18h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 25.10.2022 - 00h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 00h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam 321 - 21.10.2022 - 14h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 14h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 24.10.2022 - 00h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 00h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam 321 - 21.10.2022 - 18h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 18h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 22h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 22h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 25.10.2022 - 02h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 02h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 06h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 06h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam 321 - 21.10.2022 - 16h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 16h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 23.10-2022 - 04h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 04h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 20h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 20h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 08h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 08h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 23.10-2022 - 08h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 08h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 23.10-2022 - 00h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 00h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 04h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 04h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 10h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 10h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 25.10.2022 - 09.30h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 09.30h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 25.10.2022 - 06h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 06h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 12h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 12h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 25.10.2022 - 08h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 08h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 22.10.2022 - 16h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 16h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 24.10.2022 - 04h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 04h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 16h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 16h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 24.10.2022 - 10h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 10h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 25.10.2022 - 10h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 25.10.2022 - 10h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 23.10-2022 - 20h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 20h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 18h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 18h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 06h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 06h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 06h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 06h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 14h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 14h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam 321 - 21.10.2022 - 20h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 20h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam 321 - 21.10.2022 - 10h.jpg,./dataset_pecem_merged/cam_321/Cam 321 - 21.10.2022 - 10h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 24.10.2022 - 02h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 02h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 23.10-2022 - 22h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 22h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 22.10.2022 - 02h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 22.10.2022 - 02h.jpg,cam_321,noite,/dataset_pecem/cam_321/Excelente/Imagem28.jpg,/dataset_pecem/cam_321/Bom/Imagem30.jpg,/dataset_pecem/cam_321/Ruim/Imagem32.jpg,/dataset_pecem/cam_321/Pessimo/Imagem34.jpg,,,,,,
Cam - 321 - 24.10.2022 - 12h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 24.10.2022 - 12h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
Cam - 321 - 23.10-2022 - 16h.jpg,./dataset_pecem_merged/cam_321/Cam - 321 - 23.10-2022 - 16h.jpg,cam_321,dia,/dataset_pecem/cam_321/Excelente/Imagem27.jpg,/dataset_pecem/cam_321/Bom/Imagem29.jpg,/dataset_pecem/cam_321/Ruim/Imagem31.jpg,/dataset_pecem/cam_321/Pessimo/Imagem33.jpg,,,,,,
IMG_2022-05-26_14-30-19-175.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_14-30-19-175.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-26_08-45-20-504.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_08-45-20-504.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-26_05-30-19-152.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_05-30-19-152.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-26_14-00-18-214.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_14-00-18-214.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_14-30-13-280.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_14-30-13-280.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_09-30-15-810.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_09-30-15-810.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-26_10-00-22-462.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_10-00-22-462.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_21-00-17-089.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_21-00-17-089.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-26_23-00-19-429.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_23-00-19-429.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-26_16-30-19-165.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_16-30-19-165.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_21-30-19-246.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_21-30-19-246.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-25_07-30-13-279.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_07-30-13-279.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-26_05-45-18-062.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_05-45-18-062.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-25_17-30-16-556.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_17-30-16-556.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_10-00-14-219.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_10-00-14-219.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_02-45-16-736.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_02-45-16-736.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-26_08-15-17-273.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-26_08-15-17-273.jpg,cam_112,dia,/dataset_pecem/cam_50/Excelente/Imagem1.jpg,/dataset_pecem/cam_50/Bom/Imagem5.jpg,/dataset_pecem/cam_50/Ruim/Imagem7.jpg,/dataset_pecem/cam_50/Pessimo/Imagem9.jpg,,,,,,
IMG_2022-05-25_20-30-12-327.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_20-30-12-327.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
IMG_2022-05-25_05-15-13-683.jpg,./dataset_pecem_merged/cam_112/IMG_2022-05-25_05-15-13-683.jpg,cam_112,noite,/dataset_pecem/cam_50/Excelente/Imagem2.jpg,/dataset_pecem/cam_50/Bom/Imagem6.jpg,/dataset_pecem/cam_50/Ruim/Imagem8.jpg,/dataset_pecem/cam_50/Pessimo/Imagem10.jpg,,,,,,
